SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap,Actual_0,Predicted_0,Quantile_0.05_Timestep_0,Quantile_0.25_Timestep_0,Quantile_0.50_Timestep_0,Quantile_0.75_Timestep_0,Quantile_0.95_Timestep_0,Actual_1,Predicted_1,Quantile_0.05_Timestep_1,Quantile_0.25_Timestep_1,Quantile_0.50_Timestep_1,Quantile_0.75_Timestep_1,Quantile_0.95_Timestep_1,Actual_2,Predicted_2,Quantile_0.05_Timestep_2,Quantile_0.25_Timestep_2,Quantile_0.50_Timestep_2,Quantile_0.75_Timestep_2,Quantile_0.95_Timestep_2,Actual_3,Predicted_3,Quantile_0.05_Timestep_3,Quantile_0.25_Timestep_3,Quantile_0.50_Timestep_3,Quantile_0.75_Timestep_3,Quantile_0.95_Timestep_3,Actual_4,Predicted_4,Quantile_0.05_Timestep_4,Quantile_0.25_Timestep_4,Quantile_0.50_Timestep_4,Quantile_0.75_Timestep_4,Quantile_0.95_Timestep_4
2015,Ethereum,ETH,2021-02-11 23:59:59,1806.53903005,1708.67926011,1743.71418745,1783.79795026,36021495261.76,204480686290.95,1783.798,1792.8207,1625.8809,1716.1361,1764.0874,1838.5114,1948.4332,1843.5326,1782.755,1540.8187,1709.4935,1766.659,1851.9852,2006.0457,1814.1099,1787.578,1491.1907,1686.6534,1774.6222,1883.2462,2072.5718,1805.084,1782.4276,1444.309,1665.3624,1781.2258,1901.6727,2103.9346,1779.791,1805.3298,1412.3922,1642.2474,1775.6432,1941.7843,2195.6543
2016,Ethereum,ETH,2021-02-12 23:59:59,1861.35691381,1744.16899818,1783.48917053,1843.53258814,37905036865.18,211353402277.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Ethereum,ETH,2021-02-13 23:59:59,1871.60354682,1770.61208607,1843.98675965,1814.10985253,35359490534.52,208004282357.62,1814.1099,1892.3873,1711.7373,1807.8102,1860.3154,1937.9142,2058.9448,1805.084,1877.4731,1617.1399,1798.7323,1864.6687,1955.3674,2114.8157,1779.791,1879.9874,1567.9646,1777.5424,1867.6486,1984.807,2182.568,1781.0674,1875.3099,1516.6041,1749.4695,1877.4569,2010.5195,2217.8792,1848.4581,1897.8,1482.7999,1724.4827,1869.2134,2047.4727,2315.5427
2018,Ethereum,ETH,2021-02-14 23:59:59,1848.15405872,1789.91420653,1814.37231313,1805.08404652,31439114899.57,206994111569.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Ethereum,ETH,2021-02-15 23:59:59,1833.83057195,1683.90665476,1804.67678046,1779.79097807,38955610883.41,204117703893.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,Ethereum,ETH,2021-02-16 23:59:59,1824.51863807,1729.6419259,1778.94560552,1781.06747722,34269369268.19,204288110917.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Ethereum,ETH,2021-02-17 23:59:59,1853.66754295,1736.70582293,1781.35009235,1848.4582725,35955412703.36,212042961268.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Ethereum,ETH,2021-02-18 23:59:59,1949.90339186,1848.20628229,1848.20628229,1937.44925643,28255902968.57,222277377811.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Ethereum,ETH,2021-02-19 23:59:59,1969.54705461,1896.68450767,1938.85988089,1960.16474353,26268814252.82,224910293533.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,Ethereum,ETH,2021-02-20 23:59:59,2036.28649332,1830.53153486,1959.90297711,1919.5340028,34696091102.23,220274162486.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
